Arabic,French
مِن,depuis
ٱللَّه,Allah
فِي,dans
إِنّ,Dans
عَلَىٰ,sur
ٱلَّذِي,ٱلَِّي
لَا,Non
مَا,quoi
رَبّ,Le Seigneur
إِلَىٰ,à
مَا,quoi
مَن,depuis
إِن,que
أَن,que
إِلَّا,sauf
ذَٰلِك,que
عَن,sur
أَرْض,atterrir
قَد,peut
إِذَا,si
قَوْم,personnes
ءَايَة,Verset
أَنّ,que
كُلّ,tous
لَم,n'a pas
ثُمّ,alors
رَسُول,messager
لَا,Non
يَوْم,jour
عَذَاب,tourmenter
هَٰذَا,ce
سَمَاء,ciel
نَفْس,haleine
شَيْء,quelque chose
أَو,ou
كِتَٰب,livres
بَيْن,entre
حَقّ,le droit
نَاس,personnes
إِذ,donc
أُولَٰٓئِك,Ceux
قَبْل,avant
مُؤْمِن,Un croyant
لَو,prendre
مَن,depuis
سَبِيل,chemin
أَمْر,commandant
عِند,quand
مَع,avec
بَعْض,quelques
لَمَّا,pourquoi
أَيُّهَا,Oh elle
خَيْر,bonté
إِلَٰه,machine
نَار,feu
غَيْر,pas
أَم,ou
مُوسَىٰ,Moïse
دُون,Écrire
آخِر,Après tout
بَعْد,après
قَلْب,cœur
عَبْد,esclave
أَهْل,Accueillir
لَعَلّ,peut être
بَل,Taureau
يَد,main
كَٰفِرُون,Les incroyants
إِن,que
رَحْمَة,miséricorde
رَحِيم,miséricordieux
أَجْر,Récompense
ظَالِم,injuste
عِلْم,science
عَظِيم,super
لَن,La pelouse
إِلَّا,sauf
عَلِيم,Connaissance
جَنَّة,paradis
حَتَّىٰ,même
هَل,Faire
دِين,religion
قَوْل,dire
مَا,quoi
ذُو,Le
مَلَك,roi
مَثَل,exemple
مَال,argent
وَلِىّ,Mon tuteur
هُدًى,Hoda
حَكِيم,sage
فَضْل,Service
صَلَوٰة,Prière
لَيْل,nuit
بُنَىّ,construit
شَيْطَٰن,Satan
كَيْف,comment
يَوْم,jour
مَا,quoi
أَصْحَٰب,je suis un ami
أَكْثَر,plus
جَهَنَّم,enfer
حَيَوٰة,Vie
ذِكْر,mâle
زَوْج,mari
أَخ,frère
مِثْل,comme
نَبِىّ,prophète
أَحَد,Quelqu'un
خَٰلِد,Immortel
دُنْيَا,Le monde
فِرْعَوْن,pharaon
عَٰلَمِين,Deux mondes
أَلِيم,Douloureux
مُبِين,Montré
إِنسَٰن,Humain
عَمَل,un travail
وَجْه,affronter
قِيَٰمَة,valeur
يَوْمَئِذ,Ce jour-là
إِبْرَاهِيم,Ibrahim
قُرْءَان,Deux lectures
بَعْد,après
بَيْت,maison
لَٰكِن,mais
يَمِين,droite
آبَاء,Pères
أُمَّة,Une nation
ٱبْن,Ibn
عَزِيز,Cher
مَآء,eau
صَٰلِحَٰت,Elle a fait la paix
عَلِيم,Connaissance
غَفُور,indulgent
أَوَّل,d'abord
صَٰلِح,réconciliation
صَادِق,honnête
نِسَآء,Nisa
نَذِير,Présage
عَيْن,œil
قَرْيَة,village
لَٰكِنّ,mais
نَهَار,jour
وَلَد,enfant
بَيِّنَة,preuve
رِزْق,moyens de subsistance
نَهَر,rivière
جَمِيع,tous
أَجَل,D'accord
خَلْق,créer
جَنَّة,paradis
سُوٓء,je vais
مَوْت,la mort
نِعْمَة,bénédiction
عَدُوّ,ennemi
غَيْب,Invisible
مُتَّقِين,Craintif
وَعْد,une promesse
بَصَر,vue
تَحْت,sous
دَار,maison
مُلْك,roi
أَن,que
حَتَّىٰ,même
سَاعَة,heure
مُبِين,Montré
أَبٌ,papa
أُولِى,d'abord
إِيمَٰن,Foi
رَحْمَٰن,Très Miséricordieux
صِرَٰط,Un chemin
قَبْل,avant
آخَر,dernier
أَمَّا,Quant à
صَدْر,libéré
قَدِير,Tout-Puissant
مُجْرِم,criminel
مُشْرِك,gentil
إِسْرَائِيل,Israël
حَمْد,Louer
قَلِيل,un peu
نُوح,Noé
نُور,Noor
جَزَآء,peine
سَوْف,volonté
كَثِير,beaucoup
بَحْر,mer
دُنْيَا,Le monde
سُبْحَٰن,Gloire à Lui
سَلَٰم,paix
شَرِيك,un partenaire
شَهِيد,martyr
لَوْلَآ,Si ce n'était pas pour moi
وَيْل,Malheur
إِذْن,autorisation
ٱسْم,Nom
أَلَآ,sauf si
جَبَل,montagne
سَمِيع,Audience
حِسَاب,compte
ضَلَٰل,Il s'est égaré
عَزِيز,Cher
مُحْسِن,Un philanthrope
بَشَر,Prêcher
ذَنب,péché
سُلْطَٰن,Sultan
عِند,quand
كُفْر,Blasphème
سَيِّـَٔات,Siyat
شَدِيد,Extrême
إِثْم,péché
أَحْسَن,mieux
أَىّ,n'importe lequel
لَوْلَآ,Si ce n'était pas pour moi
مَتَٰع,Jouissance
أُمّ,ou
فِتْنَة,Sédition
مُرْسَل,expéditeur
مَرْيَم,Mariam
مَعْرُوف,connu
مَن,depuis
مَيِّت,mort
نَصِير,Supporter
ءَالَآء,Alaa
أَعْلَم,Savoir
شَمْس,soleil
فَرِيق,une équipe
كَذِب,mentir
كَلَّا,les deux
نَعَم,Oui
خَٰسِرِين,Tu perds
زَكَوٰة,Zakât
عَٰقِبَة,obstacle
كَبِير,grand
بَصِير,Perspicace
حِين,quand
كَٰذِب,mentir
حُكْم,gouverner
خَيْر,bonté
شَرّ,mal
قُوَّة,pouvoir
مَلَأ,remplir
جُند,juin
رَجُل,homme
رِيح,vent
عَرْش,trône
عَهْد,ère
غَفُور,indulgent
كَأَنّ,Il était
نَبَأ,nouvelles
أَبَدًا,jamais
أَشَدّ,Plus sévère
حَدِيث,accident
ذُرِّيَّة,progéniture
رِجَال,hommes
سِحْر,charme
كَرِيم,généreux
كَلِمَة,mot
مَسْجِد,mosquée
مَصِير,destin
مَغْفِرَة,pardon
أَنَّىٰ,que je
بَاب,Chapitre
غَٰفِل,imprudent
قَلِيل,un peu
قَمَر,lune
كَافِر,kafir
لُوط,Parcelle
مُنَٰفِقُون,Hypocrites
يُوسُف,Youssef
آخَر,dernier
أَجْمَعِين,Vous tous
ٱمْرَأَت,Une femme
بَٰطِل,héros
ثَمُود,Tamud
جَحِيم,enfer
خَوْف,peur
سَوَآء,si
كَيْد,Enfant
مَاذَا,Quoi
ءَال,Oh
آدَم,Adam
بَأْس,Basse
جُنَاح,aile
حَسَنَة,Bien
عِيسَى,Issa
فَوْق,au-dessus de
لِسَان,Langue
مَكَان,lieu
مِيثَٰق,Charte
أُنثَىٰ,féminin
أَىّ,n'importe lequel
إِيَّا,Oh
طَعَام,nourriture
ظَالِم,injuste
عَاد,Il est revenu
فَاسِق,punk
لِقَآء,Une rencontre
مُسْلِم,musulman
وَٰحِد,Un
وَكِيل,agent
بَيْن,entre
حَيّ,vivant
خَبِير,expert
ذِكْرَىٰ,mémoire
شَهَٰدَة,Témoignage
طَآئِفَة,secte
فُلْك,orbite
قَرْن,siècle
مَا,quoi
مُسْتَقِيم,droit
ٱلَّذِى,ٱلَِّي
إِمَّا,Emma
بَلَىٰ,en effet
جِنّ,Djinns
خَبِير,expert
دُعَآء,une prière
سَٰحِر,charme
سَبْع,Sept
سَمْع,audience
ظُلُمَٰت,Obscurité
مَأْوَىٰ,abri
مِسْكِين,pauvre
نَصْر,victoire
وَٰحِدَة,solitude
آخِر,Après tout
بَرّ,Droiture
رُوح,L'esprit
سَيِّئَة,Mauvais
شَهْر,mois
طَيِّبَٰت,Les bons
ظَنّ,Il pensait
كَثِير,beaucoup
مُفْسِد,Becquet
مُكَذِّبِين,Couché
نَصِيب,partager
يَتِيم,orphelin
بَصِير,Perspicace
بَعِيد,loin
حِزْب,faire la fête
حَسَن,Bien
حِكْمَة,sagesse
شَدِيد,Extrême
ظُلْم,injustice
عِقَاب,punition
غَنِىّ,Riche
كَم,combien
لَدَي,Lydie
هَٰرُون,Aaron
أَوَّل,d'abord
زِينَة,Zeina
شَاهِد,un témoin
شَجَرَة,arbre
صَابِر,Patient
ضُرّ,Dhur
طَيْر,oiseau
فَوْز,victoire
مَرَّة,temps
مُعْرِضُون,Ils sont exposés
مَكْر,rusé
إِذًا,si
أُذُنٌ,autorisation
أَعْمَىٰ,aveugle
إِنس,Oublier
تَوْرَىٰة,Torah
دَآبَّة,Lunatique
دُبُر,Plan
دَرَجَة,degré
ذَا,Que
ذَكَر,mâle
رَأْس,tête
رَيْب,Incroyable
سَاجِد,prostré
عَٰلِم,science
مُنكَر,Refusé
مَوْلَىٰ,sire
مُؤْمِنَٰت,Croyants
إِسْحَاق,Isaac
أَقْرَب,plus près
أَهْوَآء,Mes caprices
بَطْن,estomac
بَنَات,filles
تَأْوِيل,interprétation
تُرَاب,sol
تَقْوَى,piété
حَرَام,interdit
خَلْف,derrière
سُلَيْمَٰن,Salomon
فَٰحِشَة,Indécence
قَآئِم,existant
لَدُن,لَدُن
مُهْتَدُون,Ils sont guidés
نَعِيم,Bonheur
أَظْلَم,Plus sombre
أَعْلَم,Savoir
أَلْبَٰب,Cœurs
بَيِّنَة,preuve
ثَمَرَٰت,Ça a porté ses fruits
حَرَام,interdit
حَمِيد,Louable
حَيْث,où
دَاوُد,دَاوُد
سَعِير,Prix
سُنَّة,année
شَهِيد,martyr
عَظِيم,super
فُؤَاد,Fouad
فَوْق,au-dessus de
قُرْبَىٰ,Mon parent
لَو,prendre
مَرْجِع,référence
مُسَمًّى,Nommé
مِيزَان,équilibre
يَعْقُوب,Yaaqoub
بُشْرَىٰ,humain
بَلَٰغ,Il a atteint
تَنزِيل,télécharger
رِجْل,homme
شَكّ,doute
صَبْر,patience
ظَهْر,dos
قَرِيب,fermer
قِسْط,Tranche
كُلَّمَا,chaque fois que
مُصَدِّق,On a cru
مِلَّة,secte
مُنذِر,Avertissement
نَصْرَانِيّ,chrétien
ٱبْتِغَآء,Pour le plaisir
أَثَر,effet
أُخْت,sœur
إِذَا,si
أَلْف,mille
أَمِين,Amen
بَلَد,pays
حُدُود,frontière
حَرَج,critique
حَمِيم,intime
خَاشِع,Soumis
شَاكِر,Reconnaissant
صِدْق,sincérité
ظِلّ,ombre
عَدْل,justice
غَضَب,colère
قَادِر,capable
كَلِمَٰت,Mots
لَعْنَة,Malédiction
لَيْت,Je souhaite
مُسْتَقِيم,droit
مُسْلِم,musulman
مَقَام,Un endroit
وَالِد,père
ٱثْنَيْن,Deux
إِذًا,si
أَكْبَر,plus grand
بَغْتَة,Soudainement
ثَوَاب,récompense
جَمْع,collection
حَٰفِظ,Hafiz
حَرْث,charrue
حُسْن,Bien
حَكِيم,sage
حَوْل,autour
حَيْث,où
رِضْوَٰن,Radwan
شَفَٰعَة,Intercession
صَيْحَة,crier
غَالِب,victorieux
غُلَٰم,Garçon
فَاسِق,punk
قِتَال,lutte
مَا,quoi
مَثْوًى,logement
مَرَض,maladie
مُفْلِحُون,Ils réussissent
مَلِك,roi
نَجْم,étoile
إِحْسَٰن,mieux
أَرْحَام,utérus
إِسْمَاعِيل,Ismaël
أَصَمّ,sourd
أَفْوَٰه,Une bouchée
إِمَام,avant
إِنجِيل,gospel
أَيْن,où
ثَلَٰثَة,Trois
حَنِيف,Hanif
رَحْمَٰن,Très Miséricordieux
طِين,argile
عَٰمِل,un travail
فَتْح,ouvrir
لَحْم,viande
مُسْرِف,somptueux
مَسْكَن,résidence
مُعْجِز,miraculeux
مَوْعِد,un rendez-vous
نُطْفَة,sperme
وَرَآء,derrière
وَرَآء,derrière
وِزْر,Un fardeau
إِبْلِيس,diable
إِحْدَى,L'un d'eux
أَكْبَر,plus grand
أَمَّا,Quant à
بَرِىٓء,Innocent
بَغْي,punk
تَوَّاب,Se repentir
ثَمَن,prix
حَسْب,C'est assez
حَلِيم,Halim
خَٰلِق,créer
خِزْى,honte
سِرّ,tête
سِنِين,Années
شَرَاب,boire
شُعَيْب,Shoaïb
شِيعَة,Chiites
ضَآلّ,Dzaal
عَدْن,Aden
عِدَّة,plusieurs
عِزَّة,Azza
عِنَب,raisins
فَٰكِهَة,Fruit
فَسَاد,corruption
قَدَر,destin
قَرِيب,fermer
كَثِيرَة,Beaucoup
مَجْنُون,fou
مُخْلِص,sincère
مَسِيح,Christ
مَشْرِق,brillant
نَاصِر,supporter
نَجْوَىٰٓ,Najwa
نَخْل,tamiser
نَفْع,Avantage
هُزُو,Il
هَوَآء,air
أَدْنَىٰ,minimum
أَعْرَاب,Bédouins
جَاهِل,ignorant
جِنَّة,paradis
حِجَارَة,Pierres
حُسْنَىٰ,Hosna
خَيْرَٰت,De bonnes choses
دَم,la queue
رِجْس,Abomination
رَوَٰسِى,russe
رَءُوف,Compatissant
زَرْع,plantation
سَعْي,Aspirer
سُورَة,Sourate
صَاحِب,propriétaire
صُور,photo
ضَرّ,Nuire
طُور,comme
عَابِد,Couché
عِجْل,dépêchez-vous
عَرَبِيّ,arabe
عَصَا,un bâton
فَقِير,pauvre
فِئَة,catégorie
قَتْل,meurtre
كَٰفِرُون,Les incroyants
كَيْل,Assez
لِبَاس,Robe
لَهْو,amusant
مِائَة,cent
مُحْضَر,enregistrer
مُخْتَلِف,divers
مَدْيَن,débiteur
مَدِينَة,ville
مَرِيض,malade
مُسْتَقَرّ,écurie
مُصِيبَة,calamité
مَغْرِب,Maroc
وَٰلِدَي,Mon fils
يَسِير,Il marche
ءَامِنِين,Amen
آتِي,allez
أَذًى,blesser
أَرْبَعَة,quatre
أَسَٰطِير,Légendes
أَضَلّ,Il s'est égaré
إِفْك,Débarrasser
أَوْلَىٰ,d'abord
تِجَٰرَة,Commerce
تَذْكِرَة,billet
جُلُود,Peaux
حُبّ,amour
حَجّ,Hajj
خَبِيث,malin
خَلِيفَة,successeur
دُون,Écrire
رِجْز,Agitation
رَقَبَة,cou
سَبَب,une raison
سَحَاب,nuages
سَوْء,je vais
شَفِيع,intercesseur
شَكُور,Merci
صَٰلِح,réconciliation
صِيَام,jeûne
ضَرَّآء,Mauvais
ضَلَٰلَة,Étourdissement
